index;Date;Time [h];Energy Consumption [kWh]Eimp63 (kWh);Energy Consumption [kWh]Eimp64 (kWh)
112;05.08.2017;16;0.30005;0.5000020000000001
113;05.08.2017;17;0.199952;0.39990400000000004
114;05.08.2017;18;0.199952;1.0000040000000001
115;05.08.2017;19;0.200074;0.30005000000000004
116;05.08.2017;20;0.099976;0.30005000000000004
117;05.08.2017;21;0.099976;0.6001000000000001
118;05.08.2017;22;0.200074;0.5000020000000001
119;05.08.2017;23;0.099976;0.39990400000000004
120;06.08.2017;0;0.199952;0.39990400000000004
121;06.08.2017;1;0.200074;0.30005000000000004
122;06.08.2017;2;0.199952;0.40014800000000006
123;06.08.2017;3;0.199952;0.19995200000000002
124;06.08.2017;4;0.200074;0.19995200000000002
125;06.08.2017;5;0.199952;0.100098
126;06.08.2017;6;0.200074;0.19995200000000002
127;06.08.2017;7;0.299928;0.099854
128;06.08.2017;8;0.099976;0.200196
